iter	Passed	Remaining
0	8	8030
1	13	6841
2	19	6473
3	25	6267
4	30	6074
5	36	6004
6	42	5960
7	47	5865
8	52	5830
9	58	5776
10	63	5706
11	69	5692
12	75	5704
13	81	5729
14	87	5772
15	93	5768
16	99	5769
17	105	5774
18	111	5743
19	117	5755
20	123	5750
21	129	5752
22	136	5782
23	142	5781
24	148	5784
25	154	5790
26	160	5799
27	168	5861
28	175	5886
29	183	5920
30	188	5897
31	193	5847
32	198	5826
33	204	5801
34	208	5748
35	213	5710
36	218	5683
37	223	5658
38	228	5640
39	234	5620
40	239	5605
41	244	5566
42	249	5563
43	254	5532
44	258	5492
45	264	5475
46	268	5453
47	273	5427
48	278	5397
49	283	5377
50	288	5361
51	293	5344
52	298	5334
53	303	5324
54	308	5296
55	313	5281
56	318	5265
57	322	5244
58	327	5226
59	332	5204
60	336	5183
61	341	5163
62	346	5159
63	351	5145
64	356	5134
65	362	5124
66	367	5111
67	371	5088
68	376	5075
69	381	5062
70	386	5055
71	391	5049
72	396	5037
73	401	5029
74	406	5012
75	411	5000
76	415	4979
77	419	4963
78	424	4946
79	429	4937
80	433	4921
81	438	4905
82	443	4902
83	448	4889
84	452	4873
85	457	4858
86	461	4844
87	466	4835
88	471	4829
89	477	4823
90	481	4813
91	486	4797
92	491	4789
93	496	4786
94	501	4777
95	506	4768
96	510	4756
97	515	4744
98	520	4735
99	525	4727
100	529	4717
101	535	4710
102	539	4701
103	544	4690
104	548	4676
105	554	4673
106	559	4665
107	563	4651
108	568	4646
109	574	4644
110	579	4642
111	584	4630
112	588	4618
113	593	4613
114	599	4612
115	604	4604
116	609	4596
117	613	4582
118	617	4573
119	623	4569
120	628	4565
121	633	4562
122	638	4554
123	643	4542
124	648	4536
125	652	4528
126	657	4521
127	662	4510
128	666	4501
129	672	4500
130	678	4497
131	683	4494
132	689	4494
133	695	4493
134	701	4494
135	707	4494
136	713	4493
137	719	4494
138	725	4495
139	731	4491
140	736	4489
141	742	4488
142	748	4488
143	755	4490
144	761	4492
145	768	4496
146	774	4494
147	780	4495
148	787	4497
149	794	4501
150	800	4501
151	806	4501
152	812	4499
153	818	4496
154	824	4494
155	829	4490
156	835	4483
157	839	4474
158	843	4464
159	848	4455
160	853	4448
161	857	4437
162	862	4426
163	867	4420
164	871	4412
165	876	4402
166	881	4398
167	887	4395
168	891	4385
169	897	4379
170	901	4371
171	906	4361
172	910	4352
173	915	4348
174	920	4337
175	924	4329
176	929	4321
177	933	4311
178	938	4302
179	942	4295
180	948	4291
181	953	4286
182	959	4284
183	965	4281
184	971	4278
185	977	4276
186	983	4274
187	989	4275
188	1006	4320
189	1024	4367
190	1035	4387
191	1043	4389
192	1052	4398
193	1056	4391
194	1062	4384
195	1067	4380
196	1072	4372
197	1076	4362
198	1081	4352
199	1085	4342
200	1100	4373
201	1113	4397
202	1120	4398
203	1130	4413
204	1143	4435
205	1154	4451
206	1167	4471
207	1186	4518
208	1192	4513
209	1202	4524
210	1207	4514
211	1212	4506
212	1216	4496
213	1220	4484
214	1224	4472
215	1229	4462
216	1233	4452
217	1237	4440
218	1242	4432
219	1248	4425
220	1253	4418
221	1259	4412
222	1265	4408
223	1270	4400
224	1274	4389
225	1278	4379
226	1283	4371
227	1288	4363
228	1293	4355
229	1299	4350
230	1305	4344
231	1310	4338
232	1315	4329
233	1320	4321
234	1325	4313
235	1330	4306
236	1336	4302
237	1342	4297
238	1348	4293
239	1354	4289
240	1359	4282
241	1366	4280
242	1371	4271
243	1377	4266
244	1381	4257
245	1386	4249
246	1391	4241
247	1397	4236
248	1402	4230
249	1408	4224
250	1414	4221
251	1420	4216
252	1425	4209
253	1430	4200
254	1434	4190
255	1439	4182
256	1444	4176
257	1449	4168
258	1454	4160
259	1460	4155
260	1465	4150
261	1469	4140
262	1474	4132
263	1479	4125
264	1484	4117
265	1489	4110
266	1494	4102
267	1499	4095
268	1504	4087
269	1508	4079
270	1513	4071
271	1518	4063
272	1522	4055
273	1527	4047
274	1532	4040
275	1537	4032
276	1541	4024
277	1545	4015
278	1549	4004
279	1554	3997
280	1558	3988
281	1562	3979
282	1566	3969
283	1572	3963
284	1576	3954
285	1580	3944
286	1585	3937
287	1590	3932
288	1595	3926
289	1600	3919
290	1605	3912
291	1610	3904
292	1615	3897
293	1620	3891
294	1625	3883
295	1630	3876
296	1635	3870
297	1640	3864
298	1645	3857
299	1649	3848
300	1654	3841
301	1658	3833
302	1662	3825
303	1667	3818
304	1673	3813
305	1678	3806
306	1683	3800
307	1689	3795
308	1694	3789
309	1700	3784
310	1705	3778
311	1709	3770
312	1715	3765
313	1720	3759
314	1725	3751
315	1729	3743
316	1734	3737
317	1739	3730
318	1743	3722
319	1748	3716
320	1754	3710
321	1759	3704
322	1764	3698
323	1770	3694
324	1776	3689
325	1783	3687
326	1788	3681
327	1793	3675
328	1799	3669
329	1804	3664
330	1809	3657
331	1814	3650
332	1818	3642
333	1823	3636
334	1828	3629
335	1833	3623
336	1837	3615
337	1842	3607
338	1846	3600
339	1851	3593
340	1855	3586
341	1860	3579
342	1865	3573
343	1870	3567
344	1875	3559
345	1880	3553
346	1884	3546
347	1889	3539
348	1893	3531
349	1898	3525
350	1903	3519
351	1907	3512
352	1912	3504
353	1916	3498
354	1921	3491
355	1926	3485
356	1931	3479
357	1936	3472
358	1940	3465
359	1945	3459
360	1950	3451
361	1954	3444
362	1959	3439
363	1964	3432
364	1968	3425
365	1972	3417
366	1977	3411
367	1981	3403
368	1986	3396
369	1991	3390
370	1996	3384
371	2002	3379
372	2006	3372
373	2010	3365
374	2015	3359
375	2020	3352
376	2025	3346
377	2029	3340
378	2034	3333
379	2039	3328
380	2045	3322
381	2049	3315
382	2053	3308
383	2058	3302
384	2063	3295
385	2068	3289
386	2073	3284
387	2078	3278
388	2082	3271
389	2087	3264
390	2092	3259
391	2097	3253
392	2102	3247
393	2107	3241
394	2112	3235
395	2116	3227
396	2120	3220
397	2125	3215
398	2130	3209
399	2134	3202
400	2139	3196
401	2144	3189
402	2148	3182
403	2153	3176
404	2157	3170
405	2162	3163
406	2167	3157
407	2171	3150
408	2176	3144
409	2180	3137
410	2184	3131
411	2189	3125
412	2194	3118
413	2198	3111
414	2203	3105
415	2207	3099
416	2212	3092
417	2216	3085
418	2220	3079
419	2224	3072
420	2229	3066
421	2234	3060
422	2239	3054
423	2243	3047
424	2248	3041
425	2252	3034
426	2257	3029
427	2261	3022
428	2265	3015
429	2271	3010
430	2275	3003
431	2279	2996
432	2283	2990
433	2288	2984
434	2294	2979
435	2298	2973
436	2303	2967
437	2308	2961
438	2312	2955
439	2318	2950
440	2324	2946
441	2328	2940
442	2334	2934
443	2338	2928
444	2343	2922
445	2348	2917
446	2353	2911
447	2357	2905
448	2362	2899
449	2367	2894
450	2372	2887
451	2376	2881
452	2381	2875
453	2386	2870
454	2391	2864
455	2397	2859
456	2402	2854
457	2407	2848
458	2411	2842
459	2416	2837
460	2421	2830
461	2425	2824
462	2430	2818
463	2435	2812
464	2439	2807
465	2444	2800
466	2449	2795
467	2454	2789
468	2459	2784
469	2463	2778
470	2468	2772
471	2473	2767
472	2478	2761
473	2484	2756
474	2488	2750
475	2493	2744
476	2498	2739
477	2502	2733
478	2507	2727
479	2512	2721
