                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7302,                 4.3129,                 4.4652,                      0,                      0,                      0,                      0,                 6.6252,                 4.3337,                 4.1602,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 5.7937,                 4.2658,                   4.41,                      0,                      0,                      0,                      0,                 6.6256,                 4.3309,                 4.1608,             0.00011553,             0.00011553,             0.00011553
                      3,                 5.6003,                 4.1017,                 4.2881,                      0,                      0,                      0,                      0,                 6.6257,                  4.318,                 4.1601,             0.00017974,             0.00017974,             0.00017974
                      4,                 5.6229,                 3.9459,                  4.117,                      0,                      0,                      0,                      0,                 6.6226,                 4.3064,                 4.1556,             0.00024262,             0.00024262,             0.00024262
                      5,                 5.4341,                 3.6651,                 3.9583,                      0,                      0,                      0,                      0,                 6.6166,                 4.2983,                 4.1499,             0.00030419,             0.00030419,             0.00030419
                      6,                 5.3185,                 3.5312,                 3.8499,                      0,                      0,                      0,                      0,                  6.606,                 4.2833,                 4.1386,             0.00036443,             0.00036443,             0.00036443
                      7,                 5.2003,                 3.3013,                 3.6809,                      0,                      0,                      0,                      0,                 6.5918,                 4.2448,                 4.1153,             0.00042335,             0.00042335,             0.00042335
                      8,                 4.9715,                 2.9987,                 3.5813,                      0,                      0,                      0,                      0,                 6.5684,                 4.2122,                  4.083,             0.00048096,             0.00048096,             0.00048096
                      9,                 4.9051,                 3.0879,                 3.4431,                      0,                      0,                      0,                      0,                 6.5396,                 4.1789,                 4.0438,             0.00053724,             0.00053724,             0.00053724
                     10,                  4.708,                 3.0463,                 3.4356,                      0,                      0,                      0,                      0,                 6.5119,                 4.1457,                  4.005,              0.0005922,              0.0005922,              0.0005922
                     11,                  4.612,                  2.812,                 3.2638,                      0,                      0,                      0,                      0,                 6.4926,                 4.1123,                 3.9704,             0.00064585,             0.00064585,             0.00064585
                     12,                 4.3647,                 2.6927,                 3.2189,                      0,                      0,                      0,                      0,                 6.5354,                  4.133,                 4.0183,             0.00069817,             0.00069817,             0.00069817
                     13,                 4.1753,                 2.4806,                 3.0149,                      0,                      0,                      0,                      0,                 6.6083,                 4.1859,                 4.1064,             0.00074917,             0.00074917,             0.00074917
                     14,                 4.1203,                 2.4617,                 3.0255,                      0,                      0,                      0,                      0,                 6.6127,                 4.1871,                 4.1019,             0.00079885,             0.00079885,             0.00079885
                     15,                 3.9617,                 2.3195,                  2.985,                      0,                      0,                      0,                      0,                 6.6122,                 4.1942,                 4.1071,             0.00084721,             0.00084721,             0.00084721
                     16,                 3.4943,                 2.1179,                 2.7658,                      0,                      0,                      0,                      0,                 6.5776,                 4.1635,                 4.0768,             0.00089425,             0.00089425,             0.00089425
                     17,                 3.6063,                 2.1528,                 2.7189,                      0,                      0,                      0,                      0,                 6.5475,                 4.1473,                  4.061,             0.00093997,             0.00093997,             0.00093997
                     18,                 3.7296,                 2.1816,                 2.6639,                      0,                      0,                      0,                      0,                 6.5616,                 4.2144,                 4.1147,             0.00098438,             0.00098438,             0.00098438
                     19,                 3.3865,                 1.9561,                 2.5267,                      0,                      0,                      0,                      0,                  6.556,                 4.2302,                 4.0597,              0.0010275,              0.0010275,              0.0010275
                     20,                 3.0914,                 1.9102,                 2.3536,                      0,                      0,                      0,                      0,                  6.534,                 4.1948,                 3.9322,              0.0010692,              0.0010692,              0.0010692
                     21,                 3.0085,                 1.7844,                 2.4235,                0.00181,                0.04878,                0.01665,                0.00285,                   6.26,                 3.8708,                  3.556,              0.0011097,              0.0011097,              0.0011097
                     22,                 2.9887,                 1.8554,                 2.4553,                0.96868,                0.06098,                0.06335,                0.01736,                 5.6815,                 3.3529,                 3.1511,              0.0011488,              0.0011488,              0.0011488
                     23,                 2.9164,                  1.773,                 2.2579,                0.78886,                0.07317,                 0.1011,                0.03869,                 5.2599,                 3.0812,                 2.8686,              0.0011866,              0.0011866,              0.0011866
                     24,                  3.056,                 1.8135,                 2.4008,                0.72675,                0.17073,                0.14221,                 0.0477,                 4.6878,                 2.8131,                 2.5777,              0.0012231,              0.0012231,              0.0012231
                     25,                 2.9377,                 1.7512,                 2.3198,                0.37509,                0.23171,                0.17939,                0.05787,                 3.9057,                 2.7837,                 2.2654,              0.0012582,              0.0012582,              0.0012582
                     26,                 2.8695,                 1.6437,                  2.284,                 0.3972,                0.34451,                0.23875,                0.07072,                 3.5602,                 3.2261,                 2.1177,              0.0012544,              0.0012544,              0.0012544
                     27,                 2.9443,                 1.6712,                 2.2744,                0.47685,                 0.3466,                0.28172,                 0.0867,                 3.5963,                 2.3029,                 2.0531,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.7529,                 1.6339,                  2.176,                0.45098,                0.30251,                0.25205,                0.06477,                 3.8383,                 2.1662,                 2.1156,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.7428,                 1.5908,                  2.079,                0.50694,                0.34451,                0.29715,                0.08644,                 3.3665,                 2.1576,                 1.9468,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.6678,                 1.5292,                 2.0645,                0.35169,                0.55606,                0.41455,                0.16153,                 2.6576,                 1.8965,                 1.7522,              0.0012049,              0.0012049,              0.0012049
                     31,                 2.7491,                 1.5848,                 2.0842,                0.42365,                0.65244,                0.48124,                0.17866,                 2.6318,                 1.6279,                 1.7679,              0.0011884,              0.0011884,              0.0011884
                     32,                 2.5912,                 1.4789,                  2.096,                0.49222,                 0.6311,                0.54028,                0.17862,                 2.7887,                 1.5195,                 1.8241,              0.0011719,              0.0011719,              0.0011719
