case_id,keydate,Target90Days,TargetAmount90Days,OriginalCapitalOfCaseInvoices,IndustryCode,ClientName,NumberOfUnsuccessfullyClosedCustomerCasesLast36Months,AmountOfAmountOfCustomerPaymentsOnAllCasesBlevelase,AmountOfCustomerOpenCases,NumberOfTelephonesCI,RatioOfCustomersAtAddressWithSuccessfullyClosedCasesLast36Months,AgeOfDebt,NumberOfCustomerIncomingCallDatesTee,CustomerAge,NumberOfCustomerPaymentsInLast12Months,LastOriginalClosingCodeOfCustomer,NumberOfSuccessfullyClosedCasesInLast24Months,AmountOfCase
1,2017-08-12 00:00:00.0,0.0,0.0,221.68,K6622,1,2.0,0.0,238.38,2.0,,98.0,0.0,49.0,0.0,1,,222.69
2,2017-02-03 00:00:00.0,0.0,0.0,151.36,K6512,2,,210.53,0.0,5.0,,109.0,2.0,51.0,0.0,2,1.0,212.72
3,2017-02-17 00:00:00.0,0.0,0.0,48.84,K6512,3,1.0,,0.0,2.0,0.0,748.0,0.0,48.0,,3,,56.84
4,2017-09-18 00:00:00.0,0.0,0.0,413.15,K6622,4,,,54.14,3.0,1.0,8.0,0.0,27.0,,4,,463.15
5,2017-07-22 00:00:00.0,0.0,0.0,125.83,K6512,5,2.0,20.0,83.0,6.0,,324.0,0.0,40.0,0.0,1,,146.09
6,2017-05-13 00:00:00.0,0.0,0.0,56.77,K6512,6,1.0,,0.0,3.0,,4.0,0.0,47.0,,1,,117.77
7,2017-02-23 00:00:00.0,0.0,0.0,667.65,K6622,7,,,147.09,4.0,,13.0,0.0,35.0,,4,,717.65
8,2017-09-02 00:00:00.0,0.0,0.0,77.2,K6622,8,2.0,,152.56,1.0,0.36,64.0,0.0,47.0,,1,,107.82
9,2017-03-12 00:00:00.0,0.0,0.0,277.44,K6512,2,2.0,315.6,222.25,4.0,0.0,104.0,4.0,63.0,0.0,1,,354.67
10,2017-07-13 00:00:00.0,0.0,0.0,190.5,K6512,9,,,31.39,1.0,0.25,162.0,0.0,51.0,,4,,216.22
11,2017-01-20 00:00:00.0,1.0,189.6,169.53,K6512,10,,,0.0,1.0,0.33,131.0,0.0,28.0,,5,,189.61
